,all stations
0,3.08001775791e-07
1,1.18552396774e-07
2,-2.00579281204e-07
3,-4.53078055561e-07
4,2.81727592659e-06
5,1.13663683884e-07
6,3.4136497804e-07
7,1.23285064268e-07
8,6.70682065425e-08
9,1.84249278975e-07
10,-1.44514541031e-07
11,3.14028074091e-07
12,-5.50688808365e-08
13,-3.42072312405e-08
14,-1.64194592139e-07
15,3.47597146945e-08
16,-4.80380094553e-07
17,-4.19074547542e-07
18,5.93660122931e-07
19,-1.1462606165e-06
20,-1.08217404709e-07
21,-2.42715132489e-06
22,1.90809253627e-05
23,1.46136607788e-07
24,7.20678902859e-08
25,4.35304299941e-08
26,5.35551004501e-08
27,-5.65725270197e-08
28,1.31688725376e-09
29,6.399486445e-08
30,7.21379260268e-08
31,1.06775429238e-07
32,1.0976828298e-06
33,1.80355775055e-07
34,6.05129973467e-08
35,-2.42584432307e-06
36,-5.48910572511e-07
37,1.13873298983e-07
38,2.96106111473e-07
39,-2.34559335946e-06
40,-4.03944639669e-07
41,7.4309663427e-07
42,1.96996954895e-06
43,8.76178394627e-07
44,-1.14224963403e-06
45,7.12994800546e-08
46,1.65394958378e-07
47,3.49823556443e-07
48,-1.15198016763e-06
49,2.77528473546e-06
50,-0.000115745899174
51,4.34277408201e-06
52,-1.58240922769e-06
53,2.67838215174e-07
54,1.09682773561e-07
55,-6.50662058824e-09
56,-1.35667482372e-07
57,1.26177091647e-05
58,-1.32470172083e-06
59,6.657222945e-08
60,6.42645669556e-07
61,5.64600744058e-07
62,-2.12909558908e-06
63,-1.40822097488e-06
64,3.33968432002e-07
65,-1.11844690915e-07
66,1.43292740539e-07
67,-6.66350978503e-07
68,8.72720820032e-08
69,1.05134016211e-08
70,-3.23751143564e-07
71,2.06177487172e-07
72,1.83015316791e-07
73,-7.72012926343e-07
74,-3.48432056032e-06
75,5.61914966671e-05
76,-1.04108828725e-06
77,1.33813125986e-07
78,-4.60382803108e-07
79,-7.03687060534e-07
80,-3.7763303725e-06
81,1.47432448456e-05
82,0.00013229301564
83,2.87722769153e-06
84,4.43645493703e-08
85,1.23891627742e-08
86,9.31816816028e-08
87,1.79689505658e-07
88,-4.67326170142e-08
89,-2.69573355079e-08
90,6.28396690373e-08
91,1.16276436618e-07
92,1.9169539217e-07
93,6.62913162475e-07
94,-6.12946117766e-06
95,9.68337666009e-08
96,1.88272371163e-08
97,1.6654379646e-07
98,-5.62396991354e-07
99,3.94080980115e-06
100,6.1846200621e-06
101,7.76033022794e-07
102,3.74694045701e-07
103,1.136001511e-06
104,2.01058348864e-07
105,4.23655385274e-08
106,1.01020911117e-06
107,7.17054773958e-07
108,-1.49657974383e-07
109,-1.31303214778e-06
110,-2.6862614347e-06
111,-5.56668440798e-07
112,9.52924905883e-07
113,2.07187245632e-06
114,7.12765502996e-07
115,-3.43839875984e-06
116,-2.76531673642e-07
117,1.44036406642e-06
118,2.82290569314e-06
119,1.9693245698e-06
120,-2.40728883599e-05
121,2.41332237515e-07
122,8.16746007161e-08
123,3.59660237887e-08
124,-9.52328511753e-09
125,-1.22613339836e-07
126,-4.39031811418e-08
127,6.33502361146e-08
128,7.21316817814e-08
129,1.06755500976e-07
130,3.451139402e-07
131,1.51600458016e-07
132,7.05048399032e-08
133,1.34331697125e-07
134,3.46789941218e-07
135,7.69585556682e-07
136,4.1479786825e-07
137,1.19328888322e-06
138,1.87454891393e-07
139,3.46323987671e-08
140,-1.4352578786e-05
141,2.32728214627e-07
142,-9.2950415895e-09
143,-3.71418391445e-07
144,1.04569691005e-06
145,-8.63150972308e-07
146,-1.64403997981e-07
147,2.25973073108e-07
148,2.87766851602e-07
149,-1.39205908007e-06
150,-7.67977487176e-07
151,1.66846090003e-07
152,-4.18793006019e-07
153,-1.25324770717e-06
154,-3.84879532455e-06
155,3.02287710971e-06
156,8.32405313325e-06
157,4.82014801849e-08
158,2.6941561874e-08
159,7.51539267561e-08
160,1.27127559623e-07
161,-1.72785613414e-06
162,-3.26057689697e-06
163,-1.34359128749e-06
164,6.66237370966e-08
165,6.98759430917e-07
166,8.63154522319e-07
167,8.48351547112e-07
168,7.15903818326e-07
169,-1.66861402042e-08
170,1.74350889571e-07
171,1.43685772093e-05
172,6.84905501324e-06
173,1.05223696089e-07
174,2.24559631369e-07
175,-3.89887282503e-05
176,8.24420235421e-09
177,-3.02343093023e-07
178,-1.52781634491e-05
179,-3.69740590885e-05
