,all stations
0,-1.00392792225e-05
1,1.87883150049e-06
2,-2.05522205176e-05
3,-0.000111332394562
4,5.22843970525e-05
5,-2.21927733557e-06
6,-7.75090933821e-05
7,-0.000163077538571
8,0.000262656697659
9,9.1686831129e-05
10,-1.33903087889e-05
11,-0.000108597804879
12,-9.59309509629e-05
13,-1.10503932951e-05
14,-2.45539022758e-06
15,-6.69072783869e-05
16,3.84340453844e-05
17,1.01535050486e-05
18,0.000513223557901
19,0.000103975065025
20,-0.000548911999714
21,-0.000418405355396
22,3.69032874614e-06
23,8.25424610595e-06
24,1.79136905127e-05
25,-1.13795898403e-05
26,-2.85674632058e-05
27,2.55184744621e-05
28,-0.000166250033903
29,-0.000516733611558
30,-9.19632443517e-05
31,-0.000156004534043
32,-3.37460811864e-05
33,-2.2151581364e-05
34,0.00149351556196
35,-0.000214187981812
36,-0.000814530249196
37,-4.38394893135e-05
38,-8.06223040417e-06
39,-3.07796135435e-06
40,-6.30966266102e-06
41,-6.52778784282e-06
42,8.54920757765e-06
43,2.0808140101e-06
44,-7.45721627027e-06
45,-3.58176722745e-05
46,0.00114436199273
47,0.000814386237291
48,-6.07606067614e-05
49,-1.32333173319e-06
50,1.02394760682e-06
51,0.000573329865372
52,0.000191906867806
53,1.89815782944e-05
54,-5.21646974518e-05
55,-0.000281481038981
56,0.000314764472432
57,6.10749897143e-05
58,-0.000253161126879
59,-0.000789060836156
60,0.00023129497138
61,0.000143324081647
62,1.75240955103e-05
63,-0.000151067430142
64,-0.000284673256416
65,2.27573298918e-05
66,-5.17289052097e-05
67,1.24099640519e-06
68,-5.34119967043e-05
69,-9.94111436313e-05
70,-0.000399638636971
71,0.00540731620595
72,-3.20057100874e-05
73,2.35903021385e-05
74,-1.24080438216e-05
75,7.46363615611e-06
76,-0.000386653959373
77,0.0544152399202
78,-8.01228295038e-05
79,-2.52889558398e-05
80,-9.38475429979e-06
81,1.13578483196e-05
82,-0.00389684964334
83,0.00049526419002
84,0.000188834290193
85,-4.46464703078e-05
86,-0.000168353882486
87,0.000692317249896
88,0.000509754336616
89,-4.1659059402e-05
90,-1.75917298706e-06
91,-4.36218185552e-05
92,-1.01940972308e-06
93,3.29582066149e-05
94,4.06618806781e-06
95,0.000166422456636
96,6.97605312572e-06
97,-1.03482700742e-05
98,1.51635277676e-05
99,-0.00183246860724
100,-0.000678003912151
101,-0.000136502274422
102,-5.00830051782e-05
103,-1.27470886616e-05
104,8.31732809552e-05
105,-0.00353081165546
106,1.68704454691e-05
107,-8.25082041207e-05
108,-1.11080855268e-05
109,-4.24528571397e-06
110,7.23629929403e-05
111,0.000227511511681
112,-0.000841736882466
113,-0.00557556091024
114,6.92800072793e-05
115,4.1542528289e-05
116,-0.00464368177955
117,7.66826677762e-05
118,-0.000920235621783
119,-0.0232416248233
120,-1.62182817428e-05
121,1.78499542184e-05
122,2.94355872188e-06
123,-1.8642687443e-05
124,-1.05713439125e-05
125,1.85287190515e-05
126,5.31321456809e-06
127,-1.36822955477e-05
128,-5.34665131708e-05
129,-0.000114066350406
130,0.00103830133863
131,1.04008037568e-05
132,-3.71778524416e-05
133,-0.000174813710805
134,0.000129657810208
135,0.000150287811385
136,-3.19079278399e-06
137,-0.00017722646366
138,-0.000322972656119
139,-0.000286133361945
140,-0.000111459960071
141,-6.38387744003e-05
142,-3.77161507714e-06
143,3.36869787509e-07
144,-0.000221678764564
145,-0.000176576522785
146,-5.7820901721e-05
147,0.000122622301754
148,-9.46371653998e-05
149,6.68295830818e-05
150,-0.000262153162397
151,-0.000636143460566
152,0.000281521232371
153,0.000196775023308
154,2.30847107321e-05
155,-0.000155447875045
156,-0.000275126713985
157,0.00042235440905
158,0.000153532917201
159,2.67205421528e-05
160,-0.000159608172428
161,-0.000284120996322
162,-0.000485511288956
163,2.68182045682e-06
164,-3.33727963586e-05
165,-8.1728479569e-05
166,-3.26564159877e-05
167,8.11878423157e-06
168,-0.000104369511122
169,-6.56925364197e-05
170,-4.69421294491e-06
171,-0.000103361579326
172,-0.000609111257218
173,0.117342402019
174,-7.1603344214e-05
175,-1.2875897077e-05
176,-4.14156775186e-06
177,-6.42684169549e-07
178,1.33761272147e-05
179,2.44080344746e-05
180,3.36173340054e-06
181,-7.16049632044e-06
182,-3.58160651773e-05
183,-6.80459511998e-05
184,1.36275362319e-05
185,2.06429773127e-05
186,-4.6801562627e-05
187,-0.000195637028476
188,-0.000283949160306
189,-0.000125442236018
190,-6.83313516834e-05
191,-2.23346737993e-06
192,2.00313025167e-07
193,0.00333461592092
194,-3.5410690953e-05
195,-1.62908565255e-05
196,2.16363271038e-05
197,-1.93776027538e-05
198,9.22220151668e-05
199,-5.62939917728e-05
200,-0.000474373063672
201,-0.00106625444282
202,-4.37112223672e-06
203,0.000324436700188
204,4.10603764607e-05
205,-0.000193222261542
206,-0.00058303247202
207,1.80700174739e-05
208,6.57638389906e-05
209,7.99988272193e-06
210,-8.10177453912e-05
211,-0.000141644700289
212,-4.03094751299e-05
213,-0.000104735900269
214,-1.03123508287e-05
215,1.54205265857e-05
216,7.24161055256e-05
217,-8.47795119004e-05
218,4.44776844579e-05
219,-0.000521151328806
220,-0.000400158440727
221,0.000599818022208
222,-6.53696143407e-05
223,-6.42887946267e-06
224,3.56899345181e-05
225,0.00489480486393
226,-0.000152355311755
227,-1.27069316304e-05
228,-6.01131949322e-05
229,-0.000525651205166
230,-1.72911572934e-05
231,1.1374405282e-05
232,7.12601551323e-07
233,-1.36429511678e-05
234,0.000227230471665
235,0.000155491705026
236,0.000843876300997
237,0.000502418071623
238,0.000193383705184
239,-4.81747176738e-05
240,-0.000210825700555
241,-0.000310477246573
242,-0.000172882748674
243,-4.77728399632e-05
244,-3.09373394388e-05
245,2.07284114303e-05
246,5.17145375067e-06
247,-0.00331397476835
248,-0.00196305190069
249,1.82349725033e-05
250,-4.43964643037e-05
251,0.00193626969141
252,0.000918394089207
253,0.00059332043397
254,0.000102440210499
255,-0.000450972148913
256,-0.00144032945286
257,-0.000107884767954
258,0.000111602022192
259,-0.000313963259775
